mechanism,x_key,x,seed_mean,ci95,honesty,honesty_ci95,seeds
Mstar,period,7000.0,0.9892000000000003,0.0016498630246174996,0.9892000000000003,0.0016498630246174996,50
Mstar,period,7050.0,0.9896800000000002,0.0015853440762181573,0.9896800000000002,0.0015853440762181573,50
Mstar,period,7100.0,0.9907200000000003,0.001622106482324759,0.9907200000000003,0.001622106482324759,50
Mstar,period,7150.0,0.9888000000000001,0.0021368238111739604,0.9888000000000001,0.0021368238111739604,50
Mstar,period,7200.0,0.9881600000000005,0.0021245783016871867,0.9881600000000005,0.0021245783016871867,50
Mstar,period,7250.0,0.98768,0.002087410798094138,0.98768,0.002087410798094138,50
Mstar,period,7300.0,0.9876,0.0018094153751971951,0.9876,0.0018094153751971951,50
Mstar,period,7350.0,0.9876800000000003,0.0016887876835173813,0.9876800000000003,0.0016887876835173813,50
Mstar,period,7400.0,0.9893600000000004,0.0017438943087240142,0.9893600000000004,0.0017438943087240142,50
Mstar,period,7450.0,0.9903200000000005,0.0017932595573424406,0.9903200000000005,0.0017932595573424406,50
Mstar,period,7500.0,0.9906400000000001,0.0016704153256001954,0.9906400000000001,0.0016704153256001954,50
Mstar,period,7550.0,0.9898400000000004,0.0016492546680243188,0.9898400000000004,0.0016492546680243188,50
Mstar,period,7600.0,0.9899200000000004,0.0017529341801676426,0.9899200000000004,0.0017529341801676426,50
Mstar,period,7650.0,0.9896000000000003,0.0018059457356188772,0.9896000000000003,0.0018059457356188772,50
Mstar,period,7700.0,0.9894400000000004,0.0017316228688718583,0.9894400000000004,0.0017316228688718583,50
Mstar,period,7750.0,0.9896800000000002,0.0016924975155077789,0.9896800000000002,0.0016924975155077789,50
Mstar,period,7800.0,0.99008,0.0015066393861837026,0.99008,0.0015066393861837026,50
Mstar,period,7850.0,0.9899200000000001,0.0015557924797350072,0.9899200000000001,0.0015557924797350072,50
Mstar,period,7900.0,0.9899200000000004,0.0017529341801676426,0.9899200000000004,0.0017529341801676426,50
Mstar,period,7950.0,0.9896000000000003,0.0018059457356188772,0.9896000000000003,0.0018059457356188772,50
Mstar,period,8000.0,0.9893600000000004,0.0017865316565905027,0.9893600000000004,0.0017865316565905027,50
no_reputation,period,250.0,0.7735199999999999,0.010695595385017149,0.7735199999999999,0.010695595385017149,50
no_reputation,period,300.0,0.7574400000000001,0.0125954146323176,0.7574400000000001,0.0125954146323176,50
no_reputation,period,350.0,0.7532000000000003,0.013013706005592733,0.7532000000000003,0.013013706005592733,50
no_reputation,period,400.0,0.7566400000000004,0.012442307798796823,0.7566400000000004,0.012442307798796823,50
no_reputation,period,450.0,0.7600000000000001,0.012533996010849861,0.7600000000000001,0.012533996010849861,50
no_reputation,period,500.0,0.7683200000000003,0.012898666126386878,0.7683200000000003,0.012898666126386878,50
no_reputation,period,550.0,0.7717600000000003,0.012806082154976216,0.7717600000000003,0.012806082154976216,50
no_reputation,period,600.0,0.7728800000000003,0.011902159427599694,0.7728800000000003,0.011902159427599694,50
no_reputation,period,650.0,0.7770400000000004,0.01210389964267716,0.7770400000000004,0.01210389964267716,50
no_reputation,period,700.0,0.7824800000000005,0.013261272964538518,0.7824800000000005,0.013261272964538518,50
no_reputation,period,750.0,0.78856,0.012685225018106705,0.78856,0.012685225018106705,50
no_reputation,period,800.0,0.7949600000000003,0.012254274134358194,0.7949600000000003,0.012254274134358194,50
no_reputation,period,850.0,0.8037600000000005,0.011176253225477677,0.8037600000000005,0.011176253225477677,50
no_reputation,period,900.0,0.8047200000000002,0.01145183432642999,0.8047200000000002,0.01145183432642999,50
no_reputation,period,950.0,0.8090400000000004,0.01090907597186857,0.8090400000000004,0.01090907597186857,50
no_reputation,period,1000.0,0.8124000000000002,0.010616394868315714,0.8124000000000002,0.010616394868315714,50
no_reputation,period,1050.0,0.8147200000000003,0.01026604487814076,0.8147200000000003,0.01026604487814076,50
no_reputation,period,1100.0,0.8173600000000001,0.009656998258258111,0.8173600000000001,0.009656998258258111,50
no_reputation,period,1150.0,0.8243200000000002,0.00982499851603043,0.8243200000000002,0.00982499851603043,50
no_reputation,period,1200.0,0.8274400000000002,0.0089291749764466,0.8274400000000002,0.0089291749764466,50
no_reputation,period,1250.0,0.8313600000000005,0.008896382150065281,0.8313600000000005,0.008896382150065281,50
no_reputation,period,1300.0,0.8349600000000004,0.00870380529193985,0.8349600000000004,0.00870380529193985,50
no_reputation,period,1350.0,0.8396000000000002,0.009744000000000008,0.8396000000000002,0.009744000000000008,50
no_reputation,period,1400.0,0.8413600000000002,0.010163307304219438,0.8413600000000002,0.010163307304219438,50
no_reputation,period,1450.0,0.8443200000000002,0.009972000994785356,0.8443200000000002,0.009972000994785356,50
no_reputation,period,1500.0,0.8491200000000002,0.010134706657816999,0.8491200000000002,0.010134706657816999,50
no_reputation,period,1550.0,0.8503200000000003,0.009629629475737898,0.8503200000000003,0.009629629475737898,50
no_reputation,period,1600.0,0.8535200000000003,0.009082060594380556,0.8535200000000003,0.009082060594380556,50
no_reputation,period,1650.0,0.8580000000000002,0.008693537829905621,0.8580000000000002,0.008693537829905621,50
no_reputation,period,1700.0,0.8645600000000004,0.008497279903592685,0.8645600000000004,0.008497279903592685,50
no_reputation,period,1750.0,0.8647200000000004,0.009042749882640795,0.8647200000000004,0.009042749882640795,50
no_reputation,period,1800.0,0.8716000000000004,0.009504175082562407,0.8716000000000004,0.009504175082562407,50
no_reputation,period,1850.0,0.8760800000000003,0.009056057102293477,0.8760800000000003,0.009056057102293477,50
no_reputation,period,1900.0,0.8810400000000003,0.009051401800826217,0.8810400000000003,0.009051401800826217,50
no_reputation,period,1950.0,0.8808800000000006,0.009116249614836144,0.8808800000000006,0.009116249614836144,50
no_reputation,period,2000.0,0.8849600000000004,0.008325932654063452,0.8849600000000004,0.008325932654063452,50
no_reputation,period,2050.0,0.8851200000000001,0.008565005489782252,0.8851200000000001,0.008565005489782252,50
no_reputation,period,2100.0,0.8866400000000002,0.008706110920497171,0.8866400000000002,0.008706110920497171,50
no_reputation,period,2150.0,0.8872000000000001,0.008973989079556545,0.8872000000000001,0.008973989079556545,50
no_reputation,period,2200.0,0.8906400000000002,0.00940695994251066,0.8906400000000002,0.00940695994251066,50
no_reputation,period,2250.0,0.8939200000000004,0.008679067820912574,0.8939200000000004,0.008679067820912574,50
no_reputation,period,2300.0,0.8978400000000003,0.008870541413014212,0.8978400000000003,0.008870541413014212,50
