mechanism,x_key,x,seed_mean,ci95,dispute,dispute_ci95,honesty,honesty_ci95,honesty_ci_source,honesty_ci_source_ci95,shirk,shirk_ci95,undetected_shortfall,undetected_shortfall_ci95,welfare,welfare_ci95
receipt_only,cv,0.0,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,0.25,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,0.5,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,0.75,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,1.0,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,1.25,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,1.5,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,1.75,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,2.0,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,2.25,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,2.5,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,2.75,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
receipt_only,cv,3.0,0.14999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14999999999999994,0.0
